edicao,co_prova,sg_area,cor,rotulo,tipo_aplicacao,is_regular
2021,1013,CN,Rosa,Rosa (Digital),digital,false
2021,1014,CN,Cinza,Cinza (Digital),digital,false
2021,1045,CN,Azul,Azul (Segunda oportunidade),segunda_oportunidade,false
2021,1046,CN,Amarela,Amarela (Segunda oportunidade),segunda_oportunidade,false
2021,1047,CN,Cinza,Cinza (Segunda oportunidade),segunda_oportunidade,false
2021,1048,CN,Rosa,Rosa (Segunda oportunidade),segunda_oportunidade,false
2021,1052,CN,Laranja,Laranja - Adaptada Ledor (Segunda oportunidade),segunda_oportunidade,false
2021,889,LC,Azul,Azul,regular,true
2021,890,LC,Amarela,Amarela,regular,true
2021,891,LC,Rosa,Rosa,regular,true
2021,892,LC,Branca,Branca,regular,true
2021,895,LC,Laranja,Laranja - Braille,acessibilidade,false
2021,896,LC,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2021,897,LC,Verde,Verde - Videoprova - Libras,acessibilidade,false
2021,969,LC,Azul,Azul (Reaplicação),reaplicacao,false
2021,970,LC,Amarela,Amarela (Reaplicação),reaplicacao,false
2021,971,LC,Rosa,Rosa (Reaplicação),reaplicacao,false
2021,972,LC,Branca,Branca (Reaplicação),reaplicacao,false
2021,976,LC,Laranja,Laranja - Adaptada Ledor (Reaplicação),reaplicacao,false
2021,1003,LC,Azul,Azul (Digital),digital,false
2021,1004,LC,Amarela,Amarela (Digital),digital,false
2021,1005,LC,Branca,Branca (Digital),digital,false
2021,1006,LC,Rosa,Rosa (Digital),digital,false
2021,1025,LC,Azul,Azul (Segunda oportunidade),segunda_oportunidade,false
2021,1026,LC,Amarela,Amarela (Segunda oportunidade),segunda_oportunidade,false
2021,1027,LC,Rosa,Rosa (Segunda oportunidade),segunda_oportunidade,false
2021,1028,LC,Branca,Branca (Segunda oportunidade),segunda_oportunidade,false
2021,1032,LC,Laranja,Laranja - Adaptada Ledor (Segunda oportunidade),segunda_oportunidade,false
2021,899,MT,Azul,Azul,regular,true
2021,900,MT,Amarela,Amarela,regular,true
2021,901,MT,Rosa,Rosa,regular,true
2021,902,MT,Cinza,Cinza,regular,true
2021,905,MT,Laranja,Laranja - Braille,acessibilidade,false
2021,906,MT,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2021,907,MT,Verde,Verde - Videoprova - Libras,acessibilidade,false
2021,979,MT,Azul,Azul (Reaplicação),reaplicacao,false
2021,980,MT,Amarela,Amarela (Reaplicação),reaplicacao,false
2021,981,MT,Rosa,Rosa (Reaplicação),reaplicacao,false
2021,982,MT,Cinza,Cinza (Reaplicação),reaplicacao,false
2021,986,MT,Laranja,Laranja - Adaptada Ledor (Reaplicação),reaplicacao,false
2021,1007,MT,Azul,Azul (Digital),digital,false
2021,1008,MT,Amarela,Amarela (Digital),digital,false
2021,1009,MT,Rosa,Rosa (Digital),digital,false
2021,1010,MT,Cinza,Cinza (Digital),digital,false
2021,1035,MT,Azul,Azul (Segunda oportunidade),segunda_oportunidade,false
2021,1036,MT,Amarela,Amarela (Segunda oportunidade),segunda_oportunidade,false
2021,1037,MT,Cinza,Cinza (Segunda oportunidade),segunda_oportunidade,false
2021,1038,MT,Rosa,Rosa (Segunda oportunidade),segunda_oportunidade,false
2021,1042,MT,Laranja,Laranja - Adaptada Ledor (Segunda oportunidade),segunda_oportunidade,false
2022,1055,CH,Azul,Azul,regular,true
2022,1056,CH,Amarela,Amarela,regular,true
2022,1057,CH,Branca,Branca,regular,true
2022,1058,CH,Rosa,Rosa,regular,true
2022,1062,CH,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2022,1063,CH,Verde,Verde - Videoprova - Libras,acessibilidade,false
2022,1135,CH,Azul,Azul (Reaplicação),reaplicacao,false
2022,1136,CH,Amarela,Amarela (Reaplicação),reaplicacao,false
2022,1137,CH,Branca,Branca (Reaplicação),reaplicacao,false
2022,1138,CH,Rosa,Rosa (Reaplicação),reaplicacao,false
2022,1175,CH,Azul,Azul (Digital),digital,false
2022,1176,CH,Amarela,Amarela (Digital),digital,false
2022,1177,CH,Branca,Branca (Digital),digital,false
2022,1178,CH,Rosa,Rosa (Digital),digital,false
2022,1085,CN,Azul,Azul,regular,true
2022,1086,CN,Amarela,Amarela,regular,true
2022,1087,CN,Cinza,Cinza,regular,true
2022,1088,CN,Rosa,Rosa,regular,true
2022,1092,CN,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2022,1093,CN,Verde,Verde - Videoprova - Libras,acessibilidade,false
2022,1165,CN,Azul,Azul (Reaplicação),reaplicacao,false
2022,1166,CN,Amarela,Amarela (Reaplicação),reaplicacao,false
2022,1167,CN,Cinza,Cinza (Reaplicação),reaplicacao,false
2022,1168,CN,Rosa,Rosa (Reaplicação),reaplicacao,false
2022,1187,CN,Azul,Azul (Digital),digital,false
2022,1188,CN,Amarela,Amarela (Digital),digital,false
2022,1189,CN,Rosa,Rosa (Digital),digital,false
2022,1190,CN,Cinza,Cinza (Digital),digital,false
2022,1065,LC,Azul,Azul,regular,true
2022,1066,LC,Amarela,Amarela,regular,true
2022,1067,LC,Rosa,Rosa,regular,true
2022,1068,LC,Branca,Branca,regular,true
2022,1072,LC,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2022,1073,LC,Verde,Verde - Videoprova - Libras,acessibilidade,false
2022,1145,LC,Azul,Azul (Reaplicação),reaplicacao,false
2022,1146,LC,Amarela,Amarela (Reaplicação),reaplicacao,false
2022,1147,LC,Rosa,Rosa (Reaplicação),reaplicacao,false
2022,1148,LC,Branca,Branca (Reaplicação),reaplicacao,false
2022,1179,LC,Azul,Azul (Digital),digital,false
2022,1180,LC,Amarela,Amarela (Digital),digital,false
2022,1181,LC,Branca,Branca (Digital),digital,false
2022,1182,LC,Rosa,Rosa (Digital),digital,false
2022,1075,MT,Azul,Azul,regular,true
2022,1076,MT,Amarela,Amarela,regular,true
2022,1077,MT,Rosa,Rosa,regular,true
2022,1078,MT,Cinza,Cinza,regular,true
2022,1082,MT,Laranja,Laranja - Adaptada Ledor,acessibilidade,false
2022,1083,MT,Verde,Verde - Videoprova - Libras,acessibilidade,false
2022,1155,MT,Azul,Azul (Reaplicação),reaplicacao,false
2022,1156,MT,Amarela,Amarela (Reaplicação),reaplicacao,false
2022,1157,MT,Rosa,Rosa (Reaplicação),reaplicacao,false
